Start_date,Start_day,Start_time,SHour,End_date,End_day,End_time,Duration,Category,Pickup,Destination,KM,Purpose,Driver_Rating,Fare,Tip,Payment_Method,Status
27-Jul-16,Wednesday,21:11:00,21,27-Jul-16,Wednesday,21:17:00,00:06:00,Business,Fort Pierce,Fort Pierce,5.1,Meal/Entertain,4,198.3,,UPI/e-Wallet,Completed
21-Sep-16,Wednesday,01:25:00,1,21-Sep-16,Wednesday,01:37:00,00:12:00,,Fort Pierce,Fort Pierce,5,,5,195,10,Cash,Completed
27-Nov-16,Sunday,20:25:00,20,27-Nov-16,Sunday,20:38:00,00:13:00,,Fort Pierce,Fort Pierce,4.8,Errand/Supplies,,188.4,18,UPI/e-Wallet,Completed
18-Dec-16,Sunday,17:31:00,17,18-Dec-16,Sunday,17:45:00,00:14:00,,Fort Pierce,Fort Pierce,4.7,Meeting,3,185.1,18,Cash,Completed
05-Apr-16,Tuesday,14:42:00,14,05-Apr-16,Tuesday,15:49:00,01:07:00,,Fort Pierce,West Palm Beach,63.7,Customer Visit,3,2132.1,,Card,Completed
01-Jun-16,Wednesday,17:15:00,17,01-Jun-16,Wednesday,17:19:00,00:04:00,Business,West Palm Beach,West Palm Beach,4.3,Meal/Entertain,3,171.9,17,Card,Completed
28-Sep-16,Wednesday,17:30:00,17,28-Sep-16,Wednesday,17:35:00,00:05:00,Business,West Palm Beach,Palm Beach,7.1,Meeting,3,264.3,26,Card,Completed
17-May-16,Tuesday,13:27:00,13,17-May-16,Tuesday,13:33:00,00:06:00,Business,Cary,Cary,0.8,Meeting,2,56.4,5,UPI/e-Wallet,Completed
13-Jul-16,Wednesday,08:05:00,8,13-Jul-16,Wednesday,08:25:00,00:20:00,Business,Cary,Morrisville,8.3,Meeting,3,303.9,30,Card,Completed
17-Jul-16,Sunday,12:17:00,12,17-Jul-16,Sunday,12:44:00,00:27:00,Business,Jamaica,New York,16.5,Customer Visit,0,574.5,,Cash,Completed
24-Sep-16,Saturday,15:08:00,15,24-Sep-16,Saturday,15:51:00,00:43:00,Business,New York,Queens,10.8,Meeting,2,386.4,38,Card,Completed
28-Apr-16,Thursday,18:18:00,18,28-Apr-16,Thursday,18:53:00,00:35:00,Business,Elmhurst,New York,7.5,Meeting,2,277.5,27,Card,Completed
16-Feb-16,Tuesday,19:12:00,19,16-Feb-16,Tuesday,19:32:00,00:20:00,Business,Midtown,East Harlem,6.2,Meeting,,234.6,23,UPI/e-Wallet,Completed
22-May-16,Sunday,08:55:00,8,22-May-16,Sunday,09:21:00,00:26:00,Business,East Harlem,NoMad,6.4,Temporary Site,4,241.2,24,Uber Cash,Completed
12-Mar-16,Saturday,11:56:00,11,12-Mar-16,Saturday,12:03:00,00:07:00,Business,Flatiron District,Midtown,1.6,Errand/Supplies,0,82.8,8,Uber Cash,Completed
27-Feb-16,Saturday,13:32:00,13,27-Feb-16,Saturday,13:46:00,00:14:00,Business,Midtown,Midtown East,1.7,Meal/Entertain,5,86.1,,Cash,Completed
10-Jul-16,Sunday,14:30:00,14,10-Jul-16,Sunday,14:43:00,00:13:00,Business,Midtown East,Midtown,1.9,Meal/Entertain,1,92.7,,Cash,Completed
09-Jun-16,Thursday,12:33:00,12,09-Jun-16,Thursday,12:49:00,00:16:00,Business,Midtown,Hudson Square,1.9,Meal/Entertain,1,92.7,,Cash,Completed
02-Mar-16,Wednesday,12:53:00,12,02-Mar-16,Wednesday,13:09:00,00:16:00,Business,Hudson Square,Lower Manhattan,4,Meal/Entertain,0,162,16,Gift Card,Completed
07-May-16,Saturday,14:42:00,14,07-May-16,Saturday,14:56:00,00:14:00,Business,Lower Manhattan,Hudson Square,1.8,Errand/Supplies,1,89.4,8,Uber Cash,Completed
14-Jul-16,Thursday,15:13:00,15,14-Jul-16,Thursday,15:28:00,00:15:00,Business,Hudson Square,Hell's Kitchen,2.4,Customer Visit,1,109.2,10,UPI/e-Wallet,Completed
02-Mar-16,Wednesday,15:42:00,15,02-Mar-16,Wednesday,15:54:00,00:12:00,Business,Hell's Kitchen,Midtown,2,Errand/Supplies,5,96,9,Uber Cash,Completed
27-Feb-16,Saturday,16:02:00,16,27-Feb-16,Saturday,17:00:00,00:58:00,Business,New York,Queens County,15.1,Meeting,2,528.3,52,Uber Cash,Completed
20-Jul-16,Wednesday,13:54:00,13,20-Jul-16,Wednesday,14:07:00,00:13:00,Business,Downtown,Gulfton,11.2,Meeting,4,399.6,39,Gift Card,Completed
06-Aug-16,Saturday,15:00:00,15,06-Aug-16,Saturday,15:28:00,00:28:00,Business,Gulfton,Downtown,11.8,Meeting,1,419.4,41,Gift Card,Completed
07-Nov-16,Monday,16:29:00,16,07-Nov-16,Monday,17:05:00,00:36:00,Business,Houston,Houston,21.9,Customer Visit,0,752.7,75,UPI/e-Wallet,Completed
03-May-16,Tuesday,21:39:00,21,03-May-16,Tuesday,21:45:00,00:06:00,Business,Eagan Park,Jamestown Court,3.9,Errand/Supplies,2,158.7,15,Uber Cash,Completed
27-Sep-16,Tuesday,00:41:00,0,27-Sep-16,Tuesday,01:01:00,00:20:00,Business,Morrisville,Cary,8,Errand/Supplies,0,294,29,Uber Cash,Completed
24-Jun-16,Friday,11:43:00,11,24-Jun-16,Friday,12:03:00,00:20:00,Business,Cary,Durham,10.4,Meal/Entertain,,373.2,37,Gift Card,Completed
16-Feb-16,Tuesday,13:26:00,13,16-Feb-16,Tuesday,13:44:00,00:18:00,Business,Durham,Cary,10.4,Meal/Entertain,3,373.2,37,Card,Completed
18-Jul-16,Monday,14:55:00,14,18-Jul-16,Monday,15:06:00,00:11:00,Business,Cary,Cary,4.8,Meal/Entertain,3,188.4,18,Uber Cash,Completed
04-May-16,Wednesday,16:13:00,16,04-May-16,Wednesday,16:24:00,00:11:00,Business,Farmington Woods,Whitebridge,4.7,Meal/Entertain,2,185.1,18,Uber Cash,Completed
10-May-16,Tuesday,09:09:00,9,10-May-16,Tuesday,09:23:00,00:14:00,Business,Whitebridge,Lake Wellingborough,7.2,,5,267.6,26,Card,Completed
24-Feb-16,Wednesday,10:55:00,10,24-Feb-16,Wednesday,11:09:00,00:14:00,Business,Lake Wellingborough,Whitebridge,7.6,Temporary Site,4,280.8,28,Uber Cash,Completed
08-May-16,Sunday,10:36:00,10,08-May-16,Sunday,11:11:00,00:35:00,Business,Cary,Raleigh,17.1,Meeting,5,594.3,59,Uber Cash,Completed
22-Apr-16,Friday,11:48:00,11,22-Apr-16,Friday,12:19:00,00:31:00,Business,Fayetteville Street,Umstead,15.1,Meeting,3,528.3,52,UPI/e-Wallet,Completed
13-Feb-16,Saturday,13:25:00,13,13-Feb-16,Saturday,14:19:00,00:54:00,Business,Raleigh,Cary,40.2,Customer Visit,2,1356.6,50,Uber Cash,Completed
13-Oct-16,Thursday,14:25:00,14,13-Oct-16,Thursday,14:29:00,00:04:00,Business,Cary,Cary,1.6,Errand/Supplies,4,82.8,8,Card,Completed
09-Oct-16,Sunday,14:43:00,14,09-Oct-16,Sunday,14:51:00,00:08:00,Business,Cary,Cary,2.4,Meal/Entertain,3,109.2,10,Card,Completed
20-Aug-16,Saturday,16:01:00,16,20-Aug-16,Saturday,16:06:00,00:05:00,Business,Cary,Cary,1,Meal/Entertain,3,63,6,Uber Cash,Completed
28-Sep-16,Wednesday,10:41:00,10,28-Sep-16,Wednesday,10:50:00,00:09:00,Business,Whitebridge,Hazelwood,2,Meal/Entertain,3,96,,Cash,Completed
01-Jul-16,Friday,12:33:00,12,01-Jul-16,Friday,12:41:00,00:08:00,Business,Hazelwood,Whitebridge,2.3,Errand/Supplies,3,105.9,10,Uber Cash,Completed
01-Jun-16,Wednesday,16:24:00,16,01-Jun-16,Wednesday,16:32:00,00:08:00,Business,Whitebridge,Westpark Place,1.9,Errand/Supplies,3,92.7,9,UPI/e-Wallet,Completed
12-Apr-16,Tuesday,17:17:00,17,12-Apr-16,Tuesday,17:22:00,00:05:00,Business,Cary,Cary,1.4,Errand/Supplies,3,76.2,7,Uber Cash,Completed
29-Aug-16,Monday,17:27:00,17,29-Aug-16,Monday,17:29:00,00:02:00,Business,Cary,Cary,0.5,Errand/Supplies,3,46.5,,Card,Completed
17-Oct-16,Monday,09:24:00,9,17-Oct-16,Monday,09:31:00,00:07:00,Business,Cary,Cary,1.8,Meeting,4,89.4,8,Card,Completed
04-Sep-16,Sunday,10:19:00,10,04-Sep-16,Sunday,10:48:00,00:29:00,Business,Cary,Raleigh,18.7,Customer Visit,4,647.1,64,Uber Cash,Completed
